ZIP,STCOUNTYFP,CLASSFP,COUNTYNAME,STATE,urbanrural,
36003,1001,H1,Autauga County,AL,urban,
36006,1001,H1,Autauga County,AL,urban,
36067,1001,H1,Autauga County,AL,urban,
36066,1001,H1,Autauga County,AL,urban,
36703,1001,H1,Autauga County,AL,urban,
36701,1001,H1,Autauga County,AL,urban,
36091,1001,H1,Autauga County,AL,urban,
36051,1001,H1,Autauga County,AL,urban,
36068,1001,H1,Autauga County,AL,urban,
36008,1001,H1,Autauga County,AL,urban,
36022,1001,H1,Autauga County,AL,urban,
36749,1001,H1,Autauga County,AL,urban,
36758,1001,H1,Autauga County,AL,urban,
36550,1003,H1,Baldwin County,AL,urban,
36551,1003,H1,Baldwin County,AL,urban,
36527,1003,H1,Baldwin County,AL,urban,
36577,1003,H1,Baldwin County,AL,urban,
36559,1003,H1,Baldwin County,AL,urban,
36536,1003,H1,Baldwin County,AL,urban,
36576,1003,H1,Baldwin County,AL,urban,
36579,1003,H1,Baldwin County,AL,urban,
36502,1003,H1,Baldwin County,AL,urban,
36578,1003,H1,Baldwin County,AL,urban,
36533,1003,H1,Baldwin County,AL,urban,
36564,1003,H1,Baldwin County,AL,urban,
36561,1003,H1,Baldwin County,AL,urban,
36580,1003,H1,Baldwin County,AL,urban,
36535,1003,H1,Baldwin County,AL,urban,
36547,1003,H1,Baldwin County,AL,urban,
36549,1003,H1,Baldwin County,AL,urban,
36530,1003,H1,Baldwin County,AL,urban,
36562,1003,H1,Baldwin County,AL,urban,
36532,1003,H1,Baldwin County,AL,urban,
36526,1003,H1,Baldwin County,AL,urban,
36555,1003,H1,Baldwin County,AL,urban,
36511,1003,H1,Baldwin County,AL,urban,
36567,1003,H1,Baldwin County,AL,urban,
36574,1003,H1,Baldwin County,AL,urban,
36480,1003,H1,Baldwin County,AL,urban,
36507,1003,H1,Baldwin County,AL,urban,
36542,1003,H1,Baldwin County,AL,urban,
36017,1005,H1,Barbour County,AL,rural,
36016,1005,H1,Barbour County,AL,rural,
36311,1005,H1,Barbour County,AL,rural,
36374,1005,H1,Barbour County,AL,rural,
36048,1005,H1,Barbour County,AL,rural,
36053,1005,H1,Barbour County,AL,rural,
36317,1005,H1,Barbour County,AL,rural,
36027,1005,H1,Barbour County,AL,rural,
36072,1005,H1,Barbour County,AL,rural,
35035,1007,H1,Bibb County,AL,urban,
35034,1007,H1,Bibb County,AL,urban,
36750,1007,H1,Bibb County,AL,urban,
35115,1007,H1,Bibb County,AL,urban,
35188,1007,H1,Bibb County,AL,urban,
36793,1007,H1,Bibb County,AL,urban,
35074,1007,H1,Bibb County,AL,urban,
35042,1007,H1,Bibb County,AL,urban,
35111,1007,H1,Bibb County,AL,urban,
35184,1007,H1,Bibb County,AL,urban,
36792,1007,H1,Bibb County,AL,urban,
35456,1007,H1,Bibb County,AL,urban,
35031,1009,H1,Blount County,AL,urban,
35121,1009,H1,Blount County,AL,urban,
35063,1009,H1,Blount County,AL,urban,
35016,1009,H1,Blount County,AL,urban,
35079,1009,H1,Blount County,AL,urban,
35097,1009,H1,Blount County,AL,urban,
35133,1009,H1,Blount County,AL,urban,
35957,1009,H1,Blount County,AL,urban,
35126,1009,H1,Blount County,AL,urban,
35049,1009,H1,Blount County,AL,urban,
35172,1009,H1,Blount County,AL,urban,
